"","CL_prox_m","DATE","Month","Day","Year","TagSite","Species","TL","RewardTag1","RewardTag2","Radio_Tag_","Code","Combined","Group_","Notes","Lat","Long","A_D","Ramp","Notes1","DaysPostRe","DistFromRa","geometry"
"41",14421.2979366184,2023-06-05,6,5,2023,168,"ALB",439,142,"141",150.132,"J-33","150.132J-33","U","3/26/2023 CL, TJ, weird movement",33.94393,-86.00166,"A","CL",NA,NA,13629.406468,c(-86.00166, 33.9439300000001)
"42",12591.2460225965,2023-06-22,6,22,2023,168,"ALB",439,142,"141",150.132,"J-33","150.132J-33","U","3/26/2023 CL, TJ",33.93623,-85.9862,"A","CL",NA,NA,11960.797706,c(-85.9861999999999, 33.9362300000001)
"43",13903.4887205008,2023-07-07,7,7,2023,168,"ALB",439,142,"141",150.132,"J-33","150.132J-33","U","3/26/2023 CL, TJ",33.94073,-85.99779,"A","CL",NA,NA,13174.617172,c(-85.99779, 33.94073)
"44",9759.08131565261,2023-07-17,7,17,2023,168,"ALB",439,142,"141",150.132,"J-33","150.132J-33","U","3/26/2023 CL, TJ",33.94196,-85.95268,"A","CL",NA,NA,9380.370873,c(-85.95268, 33.9419600000001)
"45",4082.52812544654,2023-08-04,8,4,2023,168,"ALB",439,142,"141",150.132,"J-33","150.132J-33","U","3/26/2023 CL, TJ, big move",33.97669,-86.00265,"A","CL",NA,NA,3956.217228,c(-86.00265, 33.9766900000001)
"46",4082.52812544654,2023-09-11,9,11,2023,168,"ALB",439,142,"141",150.132,"J-33","150.132J-33","U","3/26/2023 CL, TJ",33.97668,-86.00268,"D","CL",NA,NA,3959.320878,c(-86.0026799999999, 33.97668)
"47",4082.98889796992,2023-09-25,9,25,2023,168,"ALB",439,142,"141",150.132,"J-33","150.132J-33","U",NA,33.9766,-86.00264,"D","CL",NA,NA,0,c(-86.00264, 33.9766000000001)
"48",4071.43913002004,2023-10-09,10,9,2023,168,"ALB",439,142,"141",150.132,"J-33","150.132J-33","U",NA,33.97668,-86.00253,"A","CL",NA,NA,0,c(-86.00253, 33.97668)
"49",4076.29247708834,2023-10-23,10,23,2023,168,"ALB",439,142,"141",150.132,"J-33","150.132J-33","U",NA,33.9768,-86.00267,"D","CL",NA,NA,0,c(-86.00267, 33.9768)
"50",4057.81081804834,2023-11-16,11,16,2023,168,"ALB",439,142,"141",150.132,"J-33","150.132J-33","U",NA,33.9768,-86.00248,"D","CL",NA,NA,0,c(-86.0024799999999, 33.9768)
"51",4074.67469364511,2023-12-04,12,4,2023,168,"ALB",439,142,"141",150.132,"J-33","150.132J-33","U",NA,33.97675,-86.00262,"D","CL",NA,NA,0,c(-86.00262, 33.97675)
"52",4076.29247708834,2023-12-19,12,19,2023,168,"ALB",439,142,"141",150.132,"J-33","150.132J-33","U",NA,33.97679,-86.00268,"D","CL","Removed 1/16/23",NA,0,c(-86.0026799999999, 33.9767900000001)
"53",0,2023-04-15,4,15,2023,38,"LMB",485,1461,"NA",150.333,"J-34","150.333J-34","U","4/15/2023, CL, REPORTED",34.010097,-85.997069,"A","CL",NA,NA,0,c(-85.997069, 34.010097)
"54",5162.64123848668,2023-05-01,5,1,2023,38,"LMB",485,1461,"NA",150.333,"J-34","150.333J-34","U","4/15/2023, CL, REPORTED",34.00746,-85.95587,"A","CL",NA,NA,4852.313141,c(-85.9558699999999, 34.00746)
"55",5107.86283702298,2023-05-09,5,9,2023,38,"LMB",485,1461,"NA",150.333,"J-34","150.333J-34","U","4/15/2023, CL, REPORTED",34.00853,-85.95561,"A","CL",NA,NA,4798.226212,c(-85.95561, 34.0085300000001)
"56",5142.27999942632,2023-05-25,5,25,2023,38,"LMB",485,1461,"NA",150.333,"J-34","150.333J-34","U","4/15/2023, CL, REPORTED",34.00775,-85.95556,"A","CL",NA,NA,4836.983352,c(-85.9555599999999, 34.00775)
"57",5156.86720920673,2023-06-06,6,6,2023,38,"LMB",485,1461,"NA",150.333,"J-34","150.333J-34","U","4/15/2023, CL, REPORTED",34.00751,-85.95592,"A","CL",NA,NA,4845.141506,c(-85.9559199999999, 34.00751)
"58",5128.65291521564,2023-06-21,6,21,2023,38,"LMB",485,1461,"NA",150.333,"J-34","150.333J-34","U","4/15/2023, CL, REPORTED",34.00788,-85.95561,"A","CL",NA,NA,4823.090523,c(-85.95561, 34.0078800000001)
"59",4668.67086483358,2023-07-07,7,7,2023,38,"LMB",485,1461,"NA",150.333,"J-34","150.333J-34","U","4/15/2023, CL, REPORTED",34.00953,-85.95853,"A","CL",NA,NA,4366.613651,c(-85.9585299999999, 34.00953)
"60",4719.47338483523,2023-07-18,7,18,2023,38,"LMB",485,1461,"NA",150.333,"J-34","150.333J-34","U","4/15/2023, CL, REPORTED",34.00969,-85.95789,"A","CL",NA,NA,4416.34008,c(-85.95789, 34.00969)
"61",4704.46746212603,2023-08-03,8,3,2023,38,"LMB",485,1461,"NA",150.333,"J-34","150.333J-34","U","4/15/2023, CL, REPORTED",34.0094,-85.95824,"A","CL",NA,NA,4396.871731,c(-85.95824, 34.0094)
"62",5074.1446761508,2023-08-27,8,27,2023,38,"LMB",485,1461,"NA",150.333,"J-34","150.333J-34","U","4/15/2023, CL, REPORTED",34.00836,-85.95595,"A","CL",NA,NA,4766.015272,c(-85.95595, 34.00836)
"63",4719.93658922405,2023-09-11,9,11,2023,38,"LMB",485,1461,"NA",150.333,"J-34","150.333J-34","U","4/15/2023, CL, REPORTED",34.00959,-85.95793,"A","CL",NA,NA,4416.087988,c(-85.95793, 34.0095900000001)
"64",4904.89857658844,2023-09-25,9,25,2023,38,"LMB",485,1461,"NA",150.333,"J-34","150.333J-34","U",NA,34.0105,-85.95544,"A","CL",NA,NA,0,c(-85.95544, 34.0105)
"65",4710.46767700155,2023-10-09,10,9,2023,38,"LMB",485,1461,"NA",150.333,"J-34","150.333J-34","U",NA,34.00964,-85.95802,"A","CL",NA,NA,0,c(-85.95802, 34.00964)
"66",5127.72694763142,2023-10-23,10,23,2023,38,"LMB",485,1461,"NA",150.333,"J-34","150.333J-34","U",NA,34.00802,-85.95555,"A","CL",NA,NA,0,c(-85.95555, 34.00802)
"67",5351.6937817734,2023-11-17,11,17,2023,38,"LMB",485,1461,"NA",150.333,"J-34","150.333J-34","U",NA,34.00689,-85.95412,"A","CL",NA,NA,0,c(-85.95412, 34.0068900000001)
"68",5391.18653670314,2023-12-04,12,4,2023,38,"LMB",485,1461,"NA",150.333,"J-34","150.333J-34","U",NA,34.00677,-85.95374,"A","CL",NA,NA,0,c(-85.95374, 34.0067700000001)
"69",5417.51504542386,2023-12-19,12,19,2023,38,"LMB",485,1461,"NA",150.333,"J-34","150.333J-34","U",NA,34.00669,-85.95349,"A","CL",NA,NA,0,c(-85.95349, 34.00669)
"70",5395.34448393749,2024-01-04,1,4,2024,38,"LMB",485,1461,"NA",150.333,"J-34","150.333J-34","U",NA,34.00669,-85.95374,"A","CL",NA,NA,0,c(-85.95374, 34.00669)
"71",5232.35522438898,2024-01-26,1,26,2024,38,"LMB",485,1461,"NA",150.333,"J-34","150.333J-34","U",NA,34.00695,-85.9555,"A","CL",NA,NA,0,c(-85.9555, 34.0069500000001)
"72",5117.79482289569,2024-02-10,2,10,2024,38,"LMB",485,1461,"NA",150.333,"J-34","150.333J-34","U",NA,34.00865,-85.95559,"A","CL",NA,NA,0,c(-85.95559, 34.00865)
"73",0,2023-04-01,4,1,2023,57,"LMB",463,118,"NA",150.132,"J-36","150.132J-36","U","4/1/2023 CL, TJ",34.010097,-85.997069,"A","CL",NA,NA,0,c(-85.997069, 34.010097)
"74",734.064755197984,2023-04-30,4,30,2023,57,"LMB",463,118,"NA",150.132,"J-36","150.132J-36","U","4/1/2023 CL, TJ",34.0149,-85.99607,"A","CL",NA,NA,695.600229,c(-85.99607, 34.0149000000001)
"75",4773.79292260644,2023-05-09,5,9,2023,57,"LMB",463,118,"NA",150.132,"J-36","150.132J-36","U","UNREACHABLE(BLACK CREEK), 4/1/2023 CL, TJ",33.99233,-86.0198,"A","CL",NA,NA,4577.805107,c(-86.0198, 33.99233)
"76",4524.10072908482,2023-05-25,5,25,2023,57,"LMB",463,118,"NA",150.132,"J-36","150.132J-36","U","4/1/2023 CL, TJ",33.99226,-86.01711,"A","CL",NA,NA,4332.638431,c(-86.0171099999999, 33.99226)
"77",0,2023-04-01,4,1,2023,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U","4/1/2023 CL, REPORTED",34.010097,-85.997069,"A","CL",NA,NA,0,c(-85.997069, 34.010097)
"78",708.686494818389,2023-04-13,4,13,2023,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U","4/1/2023 CL, REPORTED",34.00480333,-86.00072833,"A","CL",NA,NA,679.611176,c(-86.00072833, 34.0048033300001)
"79",12598.1849183627,2023-04-30,4,30,2023,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U","4/1/2023 CL, REPORTED",33.93615,-85.98631,"A","CL",NA,NA,11967.108142,c(-85.9863099999999, 33.9361500000001)
"80",11640.2985544422,2023-05-08,5,8,2023,168,"ALB",444,143,"NA",150.132,"I-75","150.132I-75","U","4/1/2023 CL, REPORTED",33.93284,-85.97759,"A","CL",NA,NA,11107.140174,c(-85.97759, 33.9328400000001)
